Genus,Species,Brain mass (g),Body mass (g)
Pteropus,conspicillatus,8.35,750
Synaptomys,cooperi,0.59,23.8
Cardioderma,cor,0.6725,25.5
Rhinolophus,cornutus,0.194,6.6
Pipistrellus,coromandra,0.105,4.6
Nycticebus,coucang,13.6,885
Nycticebus,coucang,10.5,365
Nycticebus,coucang,14.4,572
Nycticebus,coucang,12.5,800
Nycticebus,coucang,7.88,965
Nycticebus,coucang,12.8,1230
Microgale,cowani,0.42,15.2
Myocastor,coypus,23,5000
Myocastor,coypus,17.09,7052
Otolemur,crassicaudatus,9.9,700
Pseudorca,crassidens,4307,2000000
Hypsugo,crassulus,0.132,6.1
Notiosorex,crawfordi,0.15,6
Mimon,crenulatum,0.34,14.8
Cricetus,cricetus,2.2,297
Peromyscus,crinitus,0.53,13.56
Capricornis,crispus,131.6,32900
Condylura,cristata,1.37,50
Hystrix,cristata,24.2,4763
Hystrix,cristata,37,11300
Crocuta,crocuta,175,62370
Crocuta,crocuta,177.8,80000
Galictis,cuja,19.4,1800
Oryctolagus,cuniculus,9.05,622
Oryctolagus,cuniculus,8.98,1411.8
Oryctolagus,cuniculus,9.6,2200
Oryctolagus,cuniculus,10.6,2217
Oryctolagus,cuniculus,13.7,2844
Leptonycteris,curasoae,0.55,24.5
Spalacopus,cyanus,1.58,93
Murina,cyclotis,0.265,7.88
Thylacinus,cynocephalus,43,14969
Papio,cynocephalus,162,5443
Papio,cynocephalus,172,7485
Papio,cynocephalus,179.5,10546
Chlorocebus,cynosuros,68.5,3880
Chlorocebus,cynosuros,72,2920
Phocoenoides,dalli,876,78400
Phocoenoides,dalli,760,70000
Phocoenoides,dalli,793,110000
Phocoenoides,dalli,948,115000
Phocoenoides,dalli,867,112000
Praomys,daltoni,0.68,35
Nanger,dama,149,52000
Nanger,dama,151,68000
Dama,dama,224.5,37195
Dama,dama,223,80000
Oryx,dammah,232,124000
Oryx,dammah,250,135000
Myotis,dasycneme,0.31,15
Dipodillus,dasyurus,1.32,20.5
Myotis,daubentonii,0.23,7
Pteronotus,davyi,0.31,10.6
Delphinus,delphis,685,52000
Delphinus,delphis,780,52000
Delphinus,delphis,815,59000
Delphinus,delphis,785,50000
Delphinus,delphis,790,50000
Delphinus,delphis,635,52000
Delphinus,delphis,824,54000
Delphinus,delphis,760,55000
Delphinus,delphis,875,58000
Delphinus,delphis,820,59000
Delphinus,delphis,830,61000
Delphinus,delphis,750,65000
Delphinus,delphis,842,66000
Delphinus,delphis,788,37000
Delphinus,delphis,757,49000
Delphinus,delphis,685,52000
Delphinus,delphis,765,52000
Delphinus,delphis,830,61000
Galagoides,demidoff,3.38,81
Mesoplodon,densirostris,1463,767000
Dipodomys,deserti,1.74,130.2
Heteromys,desmarestianus,1.08,72.2
Hipposideros,diadema,0.715,43.6
Choloepus,didactylus,28.2,5070
Eptesicus,dimissus,0.231,15
